"Series";"Sex";"Age";"Frequency";"Country";"Time";"Value";"Flags"
"Employment";"Men";"35 to 39";"Annual";"Germany";"1993";2655;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1993";1930;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1993";4959;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1993";2825;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1993";2134;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1993";5815;
"Population";"Men";"35 to 39";"Annual";"Germany";"1993";2934;
"Population";"Women";"35 to 39";"Annual";"Germany";"1993";2881;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1993";374;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1993";170;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1993";204;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1993";4542;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1993";2598;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1993";1944;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1993";4881;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1993";2743;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1993";2138;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1993";5655;
"Population";"Men";"40 to 44";"Annual";"Germany";"1993";2838;
"Population";"Women";"40 to 44";"Annual";"Germany";"1993";2817;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1993";339;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1993";145;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1993";194;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1993";3803;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1993";2211;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1993";1592;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1993";4078;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1993";2329;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1993";1749;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1993";4832;
"Population";"Men";"45 to 49";"Annual";"Germany";"1993";2441;
"Population";"Women";"45 to 49";"Annual";"Germany";"1993";2391;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1993";275;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1993";118;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1993";157;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1993";4531;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1993";2744;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1993";1787;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1993";4930;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1993";2916;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1993";2014;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1993";6195;
"Population";"Men";"50 to 54";"Annual";"Germany";"1993";3168;
"Population";"Women";"50 to 54";"Annual";"Germany";"1993";3027;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1993";399;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1993";172;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1993";227;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1993";2846;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1993";1813;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1993";1033;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1993";3223;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1993";2025;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1993";1198;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1993";5659;
"Population";"Men";"55 to 59";"Annual";"Germany";"1993";2837;
"Population";"Women";"55 to 59";"Annual";"Germany";"1993";2822;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1993";377;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1993";212;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1993";165;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1993";784;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1993";581;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1993";203;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1993";847;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1993";630;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1993";217;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1993";4465;
"Population";"Men";"60 to 64";"Annual";"Germany";"1993";2168;
"Population";"Women";"60 to 64";"Annual";"Germany";"1993";2297;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1993";63;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1993";49;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1993";14;
"Employment";"All persons";"Total";"Annual";"Germany";"1993";36444;
"Employment";"Men";"Total";"Annual";"Germany";"1993";21296;
"Employment";"Women";"Total";"Annual";"Germany";"1993";15148;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1993";39557;
"Labour Force";"Men";"Total";"Annual";"Germany";"1993";22802;
"Labour Force";"Women";"Total";"Annual";"Germany";"1993";16755;
"Population";"All persons";"Total";"Annual";"Germany";"1993";55452;
"Population";"Men";"Total";"Annual";"Germany";"1993";28178;
"Population";"Women";"Total";"Annual";"Germany";"1993";27274;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1993";3113;
"Unemployment";"Men";"Total";"Annual";"Germany";"1993";1506;
"Unemployment";"Women";"Total";"Annual";"Germany";"1993";1607;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1994";1362;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1994";788;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1994";574;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1994";1449;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1994";839;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1994";610;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1994";4237;
"Population";"Men";"15 to 19";"Annual";"Germany";"1994";2238;
"Population";"Women";"15 to 19";"Annual";"Germany";"1994";1999;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1994";87;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1994";51;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1994";36;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1994";3480;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1994";1852;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1994";1628;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1994";3828;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1994";2038;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1994";1790;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1994";5190;
"Population";"Men";"20 to 24";"Annual";"Germany";"1994";2657;
"Population";"Women";"20 to 24";"Annual";"Germany";"1994";2533;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1994";348;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1994";186;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1994";162;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1994";4861;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1994";2718;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1994";2143;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1994";5324;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1994";2953;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1994";2371;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1994";6676;
"Population";"Men";"25 to 29";"Annual";"Germany";"1994";3447;
"Population";"Women";"25 to 29";"Annual";"Germany";"1994";3229;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1994";463;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1994";235;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1994";228;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1994";5099;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1994";3003;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1994";2096;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1994";5570;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1994";3228;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1994";2342;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1994";6631;
"Population";"Men";"30 to 34";"Annual";"Germany";"1994";3408;
"Population";"Women";"30 to 34";"Annual";"Germany";"1994";3223;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1994";471;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1994";225;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1994";246;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1994";4604;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1994";2675;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1994";1929;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1994";5004;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1994";2859;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1994";2145;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1994";5880;
"Population";"Men";"35 to 39";"Annual";"Germany";"1994";2982;
"Population";"Women";"35 to 39";"Annual";"Germany";"1994";2898;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1994";400;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1994";184;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1994";216;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1994";4552;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1994";2591;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1994";1961;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1994";4917;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1994";2750;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1994";2167;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1994";5709;
"Population";"Men";"40 to 44";"Annual";"Germany";"1994";2853;
"Population";"Women";"40 to 44";"Annual";"Germany";"1994";2856;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1994";365;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1994";159;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1994";206;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1994";3765;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1994";2190;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1994";1575;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1994";4062;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1994";2321;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1994";1741;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1994";4828;
"Population";"Men";"45 to 49";"Annual";"Germany";"1994";2445;
"Population";"Women";"45 to 49";"Annual";"Germany";"1994";2383;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1994";297;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1994";131;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1994";166;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1994";4441;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1994";2678;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1994";1763;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1994";4843;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1994";2854;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1994";1989;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1994";6112;
"Population";"Men";"50 to 54";"Annual";"Germany";"1994";3128;
"Population";"Women";"50 to 54";"Annual";"Germany";"1994";2984;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1994";402;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1994";176;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1994";226;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1994";2926;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1994";1850;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1994";1076;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1994";3347;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1994";2086;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1994";1261;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1994";5835;
"Population";"Men";"55 to 59";"Annual";"Germany";"1994";2924;
"Population";"Women";"55 to 59";"Annual";"Germany";"1994";2911;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1994";421;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1994";236;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1994";185;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1994";764;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1994";567;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1994";197;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1994";825;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1994";615;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1994";210;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1994";4452;
"Population";"Men";"60 to 64";"Annual";"Germany";"1994";2163;
"Population";"Women";"60 to 64";"Annual";"Germany";"1994";2289;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1994";61;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1994";48;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1994";13;
"Employment";"All persons";"Total";"Annual";"Germany";"1994";36174;
"Employment";"Men";"Total";"Annual";"Germany";"1994";21106;
"Employment";"Women";"Total";"Annual";"Germany";"1994";15068;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1994";39492;
"Labour Force";"Men";"Total";"Annual";"Germany";"1994";22740;
"Labour Force";"Women";"Total";"Annual";"Germany";"1994";16752;
"Population";"All persons";"Total";"Annual";"Germany";"1994";55550;
"Population";"Men";"Total";"Annual";"Germany";"1994";28245;
"Population";"Women";"Total";"Annual";"Germany";"1994";27305;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1994";3318;
"Unemployment";"Men";"Total";"Annual";"Germany";"1994";1634;
"Unemployment";"Women";"Total";"Annual";"Germany";"1994";1684;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1995";1271;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1995";737;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1995";534;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1995";1366;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1995";793;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1995";573;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1995";4285;
"Population";"Men";"15 to 19";"Annual";"Germany";"1995";2244;
"Population";"Women";"15 to 19";"Annual";"Germany";"1995";2041;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1995";95;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1995";56;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1995";39;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1995";3184;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1995";1713;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1995";1471;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1995";3486;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1995";1879;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1995";1607;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1995";4788;
"Population";"Men";"20 to 24";"Annual";"Germany";"1995";2463;
"Population";"Women";"20 to 24";"Annual";"Germany";"1995";2325;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1995";302;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1995";166;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1995";136;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1995";4725;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1995";2621;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1995";2104;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1995";5134;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1995";2829;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1995";2305;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1995";6444;
"Population";"Men";"25 to 29";"Annual";"Germany";"1995";3310;
"Population";"Women";"25 to 29";"Annual";"Germany";"1995";3134;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1995";409;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1995";208;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1995";201;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1995";5291;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1995";3105;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1995";2186;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1995";5736;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1995";3326;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1995";2410;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1995";6823;
"Population";"Men";"30 to 34";"Annual";"Germany";"1995";3513;
"Population";"Women";"30 to 34";"Annual";"Germany";"1995";3310;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1995";445;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1995";221;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1995";224;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1995";4773;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1995";2782;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1995";1991;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1995";5164;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1995";2966;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1995";2198;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1995";6053;
"Population";"Men";"35 to 39";"Annual";"Germany";"1995";3090;
"Population";"Women";"35 to 39";"Annual";"Germany";"1995";2963;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1995";391;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1995";184;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1995";207;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1995";4615;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1995";2584;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1995";2031;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1995";4970;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1995";2752;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1995";2218;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1995";5754;
"Population";"Men";"40 to 44";"Annual";"Germany";"1995";2870;
"Population";"Women";"40 to 44";"Annual";"Germany";"1995";2884;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1995";355;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1995";168;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1995";187;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1995";3895;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1995";2248;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1995";1647;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1995";4206;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1995";2391;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1995";1815;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1995";4991;
"Population";"Men";"45 to 49";"Annual";"Germany";"1995";2532;
"Population";"Women";"45 to 49";"Annual";"Germany";"1995";2459;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1995";311;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1995";143;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1995";168;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1995";4084;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1995";2424;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1995";1660;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1995";4442;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1995";2588;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1995";1854;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1995";5607;
"Population";"Men";"50 to 54";"Annual";"Germany";"1995";2848;
"Population";"Women";"50 to 54";"Annual";"Germany";"1995";2759;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1995";358;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1995";164;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1995";194;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1995";3195;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1995";1972;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1995";1223;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1995";3668;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1995";2229;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1995";1439;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1995";6144;
"Population";"Men";"55 to 59";"Annual";"Germany";"1995";3082;
"Population";"Women";"55 to 59";"Annual";"Germany";"1995";3062;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1995";473;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1995";257;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1995";216;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1995";812;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1995";584;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1995";228;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1995";870;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1995";630;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1995";240;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1995";4563;
"Population";"Men";"60 to 64";"Annual";"Germany";"1995";2220;
"Population";"Women";"60 to 64";"Annual";"Germany";"1995";2343;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1995";58;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1995";46;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1995";12;
"Employment";"All persons";"Total";"Annual";"Germany";"1995";36176;
"Employment";"Men";"Total";"Annual";"Germany";"1995";20971;
"Employment";"Women";"Total";"Annual";"Germany";"1995";15205;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1995";39376;
"Labour Force";"Men";"Total";"Annual";"Germany";"1995";22587;
"Labour Force";"Women";"Total";"Annual";"Germany";"1995";16789;
"Population";"All persons";"Total";"Annual";"Germany";"1995";55452;
"Population";"Men";"Total";"Annual";"Germany";"1995";28172;
"Population";"Women";"Total";"Annual";"Germany";"1995";27280;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1995";3200;
"Unemployment";"Men";"Total";"Annual";"Germany";"1995";1616;
"Unemployment";"Women";"Total";"Annual";"Germany";"1995";1584;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1996";1259;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1996";738;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1996";521;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1996";1369;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1996";799;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1996";570;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1996";4476;
"Population";"Men";"15 to 19";"Annual";"Germany";"1996";2320;
"Population";"Women";"15 to 19";"Annual";"Germany";"1996";2156;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1996";110;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1996";61;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1996";49;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1996";2996;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1996";1642;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1996";1354;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1996";3325;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1996";1834;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1996";1491;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1996";4570;
"Population";"Men";"20 to 24";"Annual";"Germany";"1996";2369;
"Population";"Women";"20 to 24";"Annual";"Germany";"1996";2201;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1996";329;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1996";192;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1996";137;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1996";4518;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1996";2483;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1996";2035;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1996";4937;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1996";2719;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1996";2218;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1996";6170;
"Population";"Men";"25 to 29";"Annual";"Germany";"1996";3176;
"Population";"Women";"25 to 29";"Annual";"Germany";"1996";2994;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1996";419;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1996";236;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1996";183;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1996";5325;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1996";3093;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1996";2232;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1996";5782;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1996";3334;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1996";2448;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1996";6861;
"Population";"Men";"30 to 34";"Annual";"Germany";"1996";3515;
"Population";"Women";"30 to 34";"Annual";"Germany";"1996";3346;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1996";457;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1996";241;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1996";216;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1996";4957;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1996";2852;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1996";2105;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1996";5376;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1996";3063;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1996";2313;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1996";6279;
"Population";"Men";"35 to 39";"Annual";"Germany";"1996";3193;
"Population";"Women";"35 to 39";"Annual";"Germany";"1996";3086;
